Unnamed: 0,age,workclass,fnlgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,label,predicted_score,predicted_label,type
30808,29,Private,229656,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K,0,0.0086642355,0,TN
12571,29,Private,108574,Assoc-voc,Never-married,Priv-house-serv,Own-child,White,Female,0,0,40,United-States,<=50K,0,3.1031166e-05,0,TN
265,37,Self-emp-inc,257295,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K,1,0.8880372,1,TP
6224,52,Local-gov,74784,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,1,0.23846014,0,FN
13887,28,Private,306830,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Nicaragua,<=50K,0,0.015911266,0,TN
10679,18,,340117,11th,Never-married,,Unmarried,Black,Female,0,0,50,United-States,<=50K,0,0.0010940431,0,TN
23871,20,Private,147344,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,0,2.0226582e-05,0,TN
25934,47,Private,503454,12th,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,40,United-States,<=50K,0,1.2319021e-05,0,TN
16446,50,Self-emp-not-inc,186565,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,0,0.8513875,1,FP
20111,32,Private,45796,12th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0,0.00425627,0,TN
17203,33,Private,23871,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K,0,0.0001396964,0,TN
23543,32,Local-gov,199539,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1,0.37304124,0,FN
6120,48,Federal-gov,205707,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,10520,0,50,United-States,>50K,1,0.9999987,1,TP
7737,49,Self-emp-not-inc,117634,Some-college,Widowed,Craft-repair,Unmarried,White,Female,0,0,30,United-States,<=50K,0,0.00018865189,0,TN
23993,28,Local-gov,210945,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,60,United-States,<=50K,0,0.0023052383,0,TN
11520,47,Local-gov,272182,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0,0.0045411275,0,TN
6281,59,Private,171355,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1,0.99868745,1,TP
20270,24,Private,404416,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.000342092,0,TN
22638,29,Private,192924,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.0015400355,0,TN
11706,38,Private,304651,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K,1,0.37895143,0,FN
24820,29,Private,79481,Some-college,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,2.021564e-06,0,TN
14980,29,,189765,5th-6th,Married-civ-spouse,,Wife,White,Female,0,0,40,United-States,<=50K,0,0.007839853,0,TN
5768,49,Federal-gov,420282,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,7.753086e-05,0,TN
1830,21,State-gov,142766,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K,0,1.4743711e-06,0,TN
2004,39,Private,192337,Bachelors,Separated,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.2082268,0,TN
2428,41,Private,154194,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,0,0.00024138234,0,TN
31060,30,Private,165235,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,>50K,1,0.5833705,1,TP
1405,24,Private,241523,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,>50K,1,0.01081472,0,FN
23389,39,Private,177277,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K,1,0.15573604,0,FN
3403,26,Private,31350,11th,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.0010949528,0,TN
29464,52,Local-gov,236497,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0,0.9296784,1,FP
15612,59,Private,246262,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1,0.9636758,1,TP
17255,48,Private,377140,5th-6th,Never-married,Priv-house-serv,Unmarried,White,Female,0,0,35,Nicaragua,<=50K,0,1.3155079e-06,0,TN
15933,65,Private,185001,10th,Widowed,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K,0,0.000113640024,0,TN
14637,31,Local-gov,226494,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,0,0.035825957,0,TN
16424,37,Private,167482,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,0,3.0219126e-05,0,TN
5154,28,Private,263728,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.22944386,0,TN
1249,32,Private,209432,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K,0,7.5309763e-06,0,TN
22461,21,Private,265434,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K,0,6.9569985e-05,0,TN
360,36,Private,348022,10th,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,United-States,<=50K,0,0.0057691312,0,TN
22447,43,Federal-gov,195897,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,40,United-States,>50K,1,0.99997604,1,TP
24586,33,Private,189265,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.010130699,0,TN
24240,62,Private,131117,7th-8th,Divorced,Tech-support,Unmarried,White,Female,0,0,38,Columbia,<=50K,0,4.6412754e-07,0,TN
24279,59,State-gov,349910,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,50,United-States,>50K,1,0.9999995,1,TP
85,53,Private,346253,HS-grad,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,0,0.008656241,0,TN
30940,35,Private,191628,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0,0.38968918,0,TN
24562,26,Private,134888,Bachelors,Never-married,Tech-support,Own-child,White,Female,0,0,35,United-States,<=50K,0,8.6567146e-05,0,TN
11717,44,Private,286750,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1902,40,United-States,>50K,1,0.99999845,1,TP
29218,20,Private,238917,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,El-Salvador,<=50K,0,1.3070053e-07,0,TN
10914,22,Private,514033,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,0,80,United-States,<=50K,0,0.021629242,0,TN
29117,34,Private,287315,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K,1,0.71452034,1,TP
27631,18,Private,423024,12th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,0,5.2286475e-07,0,TN
20935,26,Private,236008,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0.0015959593,0,TN
13305,22,Private,433669,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,36,,<=50K,0,0.00036720285,0,TN
5007,63,Self-emp-not-inc,298249,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,10605,0,40,United-States,>50K,1,0.9997178,1,TP
30914,34,Private,46746,11th,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K,0,1.621414e-05,0,TN
739,42,Private,279914,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1,0.58185285,1,TP
20857,51,Private,168660,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,0,0.9123598,1,FP
29365,25,Private,264055,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,0,4.3025044e-05,0,TN
5265,27,Federal-gov,47907,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.0003480938,0,TN
16155,21,,41356,Some-college,Never-married,,Own-child,White,Female,0,0,35,United-States,<=50K,0,5.8052356e-06,0,TN
13857,47,Private,52795,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,46,United-States,<=50K,0,0.04347911,0,TN
3874,22,Private,322674,Some-college,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K,0,0.0012182822,0,TN
14647,20,Private,137300,Assoc-voc,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,0,2.2803497e-05,0,TN
23017,53,Private,98791,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0,0.8703413,1,FP
17753,22,Private,238917,1st-4th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,24,Mexico,<=50K,0,1.0479378e-06,0,TN
23850,37,Private,95654,10th,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,<=50K,0,0.0021389064,0,TN
19462,64,,211360,HS-grad,Widowed,,Not-in-family,White,Female,0,0,30,United-States,<=50K,0,9.555368e-05,0,TN
3259,45,Private,189890,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,5455,0,38,United-States,<=50K,0,0.013979071,0,TN
20385,29,Local-gov,419722,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Male,3674,0,40,United-States,<=50K,0,2.2924535e-06,0,TN
