feature,feature value,n_samples,precision,recall,fbeta,fscore
workclass,Private,4507,0.7051129607609988,0.6164241164241164,0.6577925679423183,0.6577925679423183
workclass,Self-emp-inc,245,0.7230769230769231,0.7401574803149606,0.7315175097276263,0.7315175097276263
workclass,Local-gov,438,0.75,0.680672268907563,0.7136563876651981,0.7136563876651981
workclass,,0,1.0,1.0,1.0,1.0
workclass,Self-emp-not-inc,526,0.6637931034482759,0.5539568345323741,0.603921568627451,0.603921568627451
workclass,Federal-gov,193,0.7681159420289855,0.726027397260274,0.7464788732394365,0.7464788732394365
workclass,State-gov,235,0.7619047619047619,0.6857142857142857,0.7218045112781954,0.7218045112781954
workclass,Never-worked,2,1.0,1.0,1.0,1.0
workclass,Without-pay,3,1.0,1.0,1.0,1.0
education,HS-grad,2108,0.5657894736842105,0.403125,0.4708029197080292,0.4708029197080292
education,Assoc-voc,270,0.7017543859649122,0.5882352941176471,0.6399999999999999,0.6399999999999999
education,Some-college,1483,0.6208333333333333,0.5379061371841155,0.5764023210831722,0.5764023210831722
education,Masters,330,0.8418079096045198,0.7967914438502673,0.8186813186813188,0.8186813186813188
education,Assoc-acdm,218,0.7209302325581395,0.6078431372549019,0.6595744680851063,0.6595744680851063
education,11th,232,0.6666666666666666,0.5454545454545454,0.6,0.6
education,12th,90,0.6666666666666666,0.2857142857142857,0.4,0.4
education,Bachelors,1023,0.7610837438423645,0.7322274881516587,0.7463768115942028,0.7463768115942028
education,Doctorate,89,0.8493150684931506,0.9393939393939394,0.8920863309352518,0.8920863309352518
education,5th-6th,72,0.4,0.6666666666666666,0.5,0.5
education,10th,184,0.2,0.125,0.15384615384615385,0.15384615384615385
education,7th-8th,144,0.3333333333333333,0.2,0.25,0.25
education,1st-4th,33,1.0,0.5,0.6666666666666666,0.6666666666666666
education,Prof-school,134,0.8484848484848485,0.8936170212765957,0.8704663212435233,0.8704663212435233
education,9th,92,0.0,0.0,0.0,0.0
education,Preschool,6,1.0,1.0,1.0,1.0
marital-status,Divorced,895,0.8448275862068966,0.494949494949495,0.6242038216560509,0.6242038216560509
marital-status,Never-married,2144,0.8064516129032258,0.5319148936170213,0.641025641025641,0.641025641025641
marital-status,Married-civ-spouse,2973,0.7018121911037891,0.6614906832298136,0.6810551558752996,0.6810551558752996
marital-status,Married-spouse-absent,80,0.8,0.4444444444444444,0.5714285714285714,0.5714285714285714
marital-status,Widowed,217,0.8,0.32,0.45714285714285713,0.45714285714285713
marital-status,Separated,196,1.0,0.25,0.4,0.4
